X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,label
0,0,0,0,0,0,0,70194,0,0,0,0,2,0,0
0,0,0,0,0,0,0,70193,0,0,0,0,13,0,0
0,0,0,0,0,0,0,70192,8153,0,0,0,5,1,0
0,0,0,0,0,0,0,70191,420,0,0,0,30,1,0
0,0,0,0,0,0,0,70190,2251,0,0,0,3,1,0
0,0,0,0,0,0,0,70189,13788,0,0,0,8,1,0
0,0,0,0,0,0,0,70188,616,0,0,0,3,1,0
0,0,0,0,0,0,0,70187,1178,0,0,0,9,1,0
0,0,0,0,0,0,0,70186,11905,0,0,0,8,1,0
0,0,0,0,0,0,0,70185,105,0,5607,0,1,0,0
0,0,3,0,0,0,0,70184,14421,0,507,0,1,1,0
0,0,0,0,0,0,0,70183,6588,0,0,0,5,1,0
0,0,0,0,0,0,0,70182,10499,0,0,0,14,1,0
0,0,0,0,0,0,0,70181,1400,0,0,0,33,1,0
0,0,0,0,0,0,0,70180,555,0,0,0,9,1,0
0,0,0,0,0,0,0,70179,45,0,0,0,181,0,0
0,0,0,0,0,0,0,70178,147,0,1,0,2,0,0
0,0,0,0,0,0,0,70177,43,0,0,0,122,0,0
0,0,0,0,0,0,0,70176,2302,0,0,0,22,1,0
0,0,0,0,0,0,0,70175,372,0,2,0,1,1,0
0,0,0,0,0,0,0,70174,105,0,9052,0,4,0,0
0,0,0,0,0,0,0,70173,3006,0,0,0,11,1,0
0,0,0,0,0,0,0,70172,861,0,0,0,44,1,0
0,0,0,0,0,0,0,70171,498,0,0,0,10,1,0
0,0,0,0,0,0,0,70170,1398,0,0,0,26,1,0
0,0,0,0,0,0,0,70169,69,0,0,0,120,0,0
0,0,0,0,0,0,0,70168,133,0,0,0,73,0,0
0,0,0,0,0,0,0,70167,43,0,0,0,148,0,0
0,0,0,0,0,0,0,70166,0,0,0,0,2,1,0
0,0,0,0,0,0,0,70165,0,0,0,0,175,0,1
0,0,0,0,0,0,0,70164,2794,0,0,0,4,1,0
0,0,0,0,0,0,0,70163,333,0,0,0,1,1,0
0,0,0,0,0,0,0,70162,2878,0,0,0,1,1,0
0,0,0,0,0,0,0,70161,0,0,0,0,3,0,0
0,0,0,0,0,0,0,70160,42,0,0,0,9,0,0
0,0,0,0,0,0,0,70159,0,0,0,0,1,1,0
0,0,0,0,0,0,0,70158,2790,0,0,0,10,1,0
0,0,0,0,0,0,0,70157,5683,0,0,0,10,1,0
0,0,0,0,0,0,0,70156,3982,0,0,0,2,1,0
0,0,0,0,0,0,0,70155,379,0,0,0,9,1,0
0,0,0,0,0,0,0,70154,3762,0,0,0,10,1,0
0,0,0,0,0,0,0,70153,105,0,315,0,3,0,0
0,0,0,0,0,0,0,70152,1416,0,0,0,11,1,0
0,0,0,0,0,0,0,70151,1483,0,0,0,3,1,0
0,0,0,0,0,0,0,70150,44,0,0,0,109,0,0
0,0,0,0,0,0,0,70149,331,0,2,0,1,1,0
0,0,0,0,0,0,0,70148,102,0,0,0,1,0,0
0,0,0,0,0,0,0,70147,750,0,0,0,4,1,0
0,0,0,0,0,0,0,70146,105,0,1082,0,2,0,0
0,0,0,0,0,0,0,70145,354,0,0,0,32,0,0
0,0,0,0,0,0,0,70144,306,0,0,0,1,1,0
0,0,0,0,0,0,0,70143,0,0,0,0,1,0,0
0,0,0,0,0,0,0,70142,7227,0,0,0,3,1,0
0,0,0,0,0,0,0,70141,761,0,0,0,1,1,0
0,0,0,0,0,0,0,70140,1212,0,0,0,15,1,0
0,0,0,0,0,0,0,70139,9165,0,0,0,2,1,0
0,0,0,0,0,0,0,70138,2243,0,0,0,21,1,0
0,0,0,0,0,0,0,70137,0,0,0,0,1,0,0
0,0,0,0,0,0,0,70136,301,0,0,0,3,1,0
0,0,0,0,0,0,0,70135,335,0,0,0,2,1,0
0,0,0,0,0,0,0,70134,0,0,0,0,1,0,0
0,0,0,0,0,0,0,70133,511,0,0,0,1,1,0
0,0,0,0,0,0,0,70132,431,0,0,0,4,1,0
0,0,0,0,0,0,0,70131,145,0,0,0,4,0,0
0,0,0,0,0,0,0,70130,974,0,0,0,6,1,0
0,0,0,0,0,0,0,70129,2649,0,0,0,7,1,0
0,0,0,0,0,0,0,70128,275,0,240,0,9,1,0
0,0,0,0,0,0,0,70127,138,0,0,0,1,0,0
0,0,0,0,0,0,0,70126,46,0,0,0,96,0,0
0,0,0,0,0,0,1,70125,334,0,1,0,1,1,0
0,0,0,0,0,0,0,70124,139,0,0,0,79,0,0
0,0,0,0,0,0,0,70123,903,0,26,1,1,1,0
0,0,0,0,0,0,0,70122,138,0,0,0,2,1,0
0,0,0,0,0,0,0,70121,1357,0,0,0,1,1,0
0,0,0,0,0,0,0,70120,0,0,0,0,3,0,0
0,0,0,0,0,0,0,70119,1011,0,0,0,3,1,0
0,0,0,0,0,0,0,70118,8412,0,0,0,9,1,0
0,0,0,0,0,0,0,70117,1719,0,0,0,8,1,0
0,0,0,0,0,0,0,70116,981,0,0,0,2,1,0
0,0,0,0,0,0,0,70115,10352,0,0,0,2,1,0
0,0,0,0,0,0,0,70114,16096,0,0,0,3,1,0
0,0,0,0,0,0,0,70113,283,0,0,0,2,1,0
